time,open,high,low,close,tick_volume,spread,real_volume
1394928000,4.28,4.7,4.17,4.66,247450,1,239021100
1395532800,4.71,5.24,4.61,5.2,272956,1,223014500
1396137600,5.22,5.55,5.14,5.45,276001,1,218129700
1396742400,5.55,6.03,5.45,5.73,255903,1,231591900
1397347200,5.75,5.87,5.35,5.79,171885,1,134893900
1397952000,5.77,5.9,5.53,5.67,163309,1,128075600
1398556800,5.64,6.23,5.58,6.23,168292,1,152554100
1399161600,6.24,6.66,6.12,6.25,268389,1,215684300
1399766400,6.35,6.51,6.28,6.38,139131,1,117483100
1400371200,6.36,6.5,6.04,6.25,202314,1,170666600
1400976000,6.29,6.37,5.9,5.9,128793,1,97477900
1401580800,5.9399999999999995,6.25,5.76,6.25,158390,1,145252600
1402185600,6.21,6.74,6.14,6.71,184666,1,157442600
1402790400,6.72,6.76,6.43,6.62,129757,1,113746700
1403395200,6.63,6.67,6.01,6.08,149798,1,155718800
1404000000,6.14,6.21,5.95,6.19,128103,1,102526700
1404604800,6.15,6.48,6.06,6.46,108233,1,86142900
1405209600,6.53,7.38,6.51,7.26,306342,1,285914900
1405814400,7.22,7.51,7.05,7.24,222791,1,211238100
1406419200,7.27,7.28,6.62,6.72,217842,1,152856600
1407024000,6.77,7.31,6.67,6.83,243413,1,239636900
1407628800,6.85,7.17,6.48,7.09,310064,1,273376700
1408233600,7.26,7.66,7.01,7.4,264715,1,238030200
1408838400,7.5,8.34,7.46,8.26,305236,1,279940200
1409443200,8.47,8.81,7.93,8.06,362451,1,286721000
1410048000,8.28,8.37,7.02,7.12,334029,1,343935300
1410652800,7.16,7.96,7.09,7.39,294002,1,299806000
1411257600,7.23,7.51,6.96,7.41,281391,1,220947700
1411862400,6.72,6.8,5.96,6.49,457039,1,380375900
1412467200,7.6,7.74,7.07,7.07,480256,1,450363000
1413072000,7.55,7.96,6.59,6.74,520663,1,449358000
1413676800,6.6899999999999995,6.72,5.44,5.77,508654,1,438745400
1414281600,4.95,5.4,4.87,5.4,548856,1,517087600
1414886400,5.29,5.34,4.78,5.04,274184,1,255334300
1415491200,5.06,5.12,4.54,4.67,192918,1,176004500
1416096000,4.62,5.06,4.24,5.05,244114,1,219073600
1416700800,5.17,5.4,4.52,4.52,301561,1,284460400
1417305600,4.46,4.53,4.26,4.33,205294,1,196469800
1417910400,4.3,4.3,3.57,3.57,270036,1,265803100
1418515200,3.61,3.66,3.03,3.4699999999999998,343331,1,424618900
1419120000,3.5,3.89,3.43,3.64,122989,1,121674800
1419724800,3.59,3.73,3.31,3.31,90574,1,99204600
1420329600,3.23,3.32,2.84,3.32,386196,1,369209700
1420934400,3.2800000000000002,3.41,3.05,3.33,250271,1,307202600
1421539200,3.31,3.69,3.23,3.54,195721,1,264459900
1422144000,3.46,3.67,2.86,2.89,345645,1,387458500
1422748800,2.99,3.82,2.87,3.23,400368,1,458569500
1423353600,3.11,3.57,3.08,3.5300000000000002,274037,1,321057400
1423958400,3.59,3.66,3.37,3.42,94008,1,113716700
1424563200,3.38,3.5,3.19,3.39,278929,1,268560900
1425168000,3.34,3.46,3.24,3.26,168510,1,176979200
1425772800,3.23,3.25,2.89,2.94,250910,1,281619900
1426377600,3.0,3.31,2.9,3.31,233256,1,279567400
1426982400,3.29,3.52,3.24,3.32,207660,1,258548000
1427587200,3.36,3.79,3.33,3.79,185887,1,203463000
1428192000,3.82,4.22,3.7,4.18,339054,1,322423700
1428796800,4.23,4.73,4.21,4.6,457448,1,468527600
1429401600,4.68,4.87,4.2,4.6899999999999995,382847,1,398939200
1430006400,4.58,4.65,4.33,4.61,177741,1,194130700
1430611200,4.71,5.29,4.71,4.78,290914,1,284193500
1431216000,4.84,5.03,4.75,4.97,260971,1,202692500
1431820800,5.18,5.18,4.46,4.62,288666,1,294710900
1432425600,4.59,4.6,4.35,4.36,200589,1,242370500
1433030400,4.39,4.63,4.33,4.44,150560,1,169965200
1433635200,4.46,4.75,4.41,4.6,162651,1,175984900
1434240000,4.58,4.8,4.5600000000000005,4.65,172005,1,179980900
1434844800,4.7,4.75,4.43,4.67,154633,1,191320600
1435449600,4.6,4.8100000000000005,4.13,4.14,216107,1,221759600
1436054400,4.07,4.24,3.83,4.17,187715,1,193134800
1436659200,4.2,4.27,4.02,4.03,163532,1,157635600
1437264000,4.05,4.08,3.45,3.55,195824,1,209641300
1437868800,3.52,3.86,3.36,3.71,252801,1,290835800
1438473600,3.66,3.73,3.43,3.43,230215,1,236711300
1439078400,3.4699999999999998,3.55,3.29,3.29,214112,1,190168500
1439683200,3.25,3.31,2.93,2.94,189214,1,182351600
1440288000,2.74,3.32,2.66,3.18,306883,1,309274300
1440892800,3.08,3.2800000000000002,2.94,3.01,258786,1,273846500
1441497600,3.08,3.15,2.68,2.7,163519,1,182124300
1442102400,2.7199999999999998,2.92,2.64,2.69,238129,1,292847000
1442707200,2.71,2.7199999999999998,2.33,2.41,204380,1,271016500
1443312000,2.38,2.77,2.27,2.75,260629,1,353031800
1443916800,2.79,3.2,2.74,3.11,355467,1,404483600
1444521600,2.96,3.0,2.71,2.81,215668,1,234271300
1445126400,2.79,2.93,2.7199999999999998,2.82,182306,1,222633700
1445731200,2.85,2.88,2.66,2.7199999999999998,145881,1,210512300
1446336000,2.77,3.06,2.73,2.77,183595,1,245117500
1446940800,2.77,2.81,2.55,2.57,182085,1,218736100
1447545600,2.58,2.84,2.58,2.77,151193,1,195923900
1448150400,2.79,3.01,2.68,2.68,188983,1,222644600
1448755200,2.67,2.89,2.6,2.66,222263,1,292702700
1449360000,2.69,2.77,2.46,2.57,220437,1,267544200
1449964800,2.5300000000000002,2.65,2.44,2.48,169724,1,207460700
1450569600,2.5,2.51,2.34,2.45,89311,1,133285200
1451174400,2.44,2.44,2.31,2.37,61766,1,81100500
1451779200,2.32,2.48,2.15,2.22,136733,1,252401700
1452384000,2.22,2.23,1.81,1.83,211917,1,356261800
1452988800,1.83,1.8399999999999999,1.5,1.56,209271,1,393882500
1453593600,1.5,1.81,1.46,1.71,213203,1,376346000
1454198400,1.6800000000000002,1.74,1.49,1.6099999999999999,183017,1,323987700
1454803200,1.52,1.5899999999999999,1.46,1.5699999999999998,125332,1,169226100
1455408000,1.6099999999999999,1.72,1.55,1.5699999999999998,168844,1,314365400
1456012800,1.65,1.87,1.63,1.72,172388,1,372017400
1456617600,1.8,2.79,1.76,2.55,412376,1,616334800
1457222400,2.56,2.91,2.45,2.86,359416,1,517036300
1457827200,2.87,2.9,2.26,2.87,341159,1,468029400
1458432000,2.86,2.92,2.59,2.76,181575,1,261597800
1459036800,2.88,3.18,2.8,2.96,230308,1,390416900
1459641600,2.83,2.95,2.62,2.92,186243,1,345165100
1460246400,2.98,3.48,2.95,3.42,289072,1,424106700
1460851200,3.41,3.51,3.14,3.45,179187,1,260806500
1461456000,3.43,3.73,3.3,3.62,199672,1,292915800
1462060800,3.62,3.66,3.38,3.56,167077,1,247524000
1462665600,3.54,3.71,3.12,3.34,272693,1,356195200
1463270400,3.38,3.49,3.06,3.15,214293,1,298655600
1463875200,3.02,3.16,2.91,2.91,145828,1,187411200
1464480000,2.89,3.06,2.7800000000000002,3.03,189262,1,233660600
1465084800,3.08,3.33,2.96,3.1,190541,1,232604300
1465689600,3.03,3.16,2.91,3.16,180355,1,296690400
1466294400,3.26,3.45,3.15,3.27,203381,1,301131300
1466899200,3.26,3.48,3.1,3.4699999999999998,166716,1,251795100
1467504000,3.52,3.55,3.16,3.48,180909,1,284431000
1468108800,3.54,3.91,3.5300000000000002,3.9,233505,1,291298600
1468713600,3.88,4.24,3.84,4.22,195342,1,250005200
1469318400,4.23,4.33,3.94,4.19,192832,1,237469600
1469923200,4.22,4.3,3.92,4.12,200398,1,272653900
1470528000,4.17,4.4,4.09,4.24,188071,1,241881900
1471132800,4.31,4.61,4.27,4.53,159021,1,225758900
1471737600,4.46,4.5600000000000005,4.35,4.44,140166,1,238547700
1472342400,4.42,4.8,4.4,4.79,182230,1,250602200
1472947200,4.87,5.05,4.78,4.78,137166,1,152422000
1473552000,4.71,4.93,4.57,4.65,205305,1,238344100
1474156800,4.74,4.98,4.6,4.84,219455,1,263164900
1474761600,4.8,4.92,4.55,4.8,184122,1,253031700
1475366400,4.83,5.43,4.8100000000000005,5.4,185640,1,286457500
1475971200,5.49,5.76,5.31,5.75,198088,1,230008100
1476576000,5.74,6.39,5.68,6.34,262347,1,328072700
1477180800,6.45,6.53,6.23,6.39,204850,1,242113000
1477785600,6.37,6.43,5.62,5.66,225310,1,229124300
1478390400,5.91,6.18,4.93,4.95,421387,1,443778700
1478995200,4.88,5.41,4.71,5.13,263007,1,270606200
1479600000,5.32,5.68,5.26,5.41,198734,1,222603800
1480204800,5.37,5.78,5.16,5.6,262303,1,300527600
1480809600,5.66,5.77,5.48,5.51,207364,1,240016600
1481414400,5.58,5.64,5.06,5.21,197040,1,194322400
1482019200,5.26,5.27,4.95,5.03,139596,1,167812700
1482624000,5.06,5.26,5.05,5.26,58443,1,57754000
1483228800,5.18,5.63,5.16,5.54,139490,1,157723500
